error 2020-05-19T20:47:26.272 thread-0  main.cpp:131                  main                 ] /Users/anka/eos/libraries/appbase/application.cpp(229): Throw in function bool appbase::application::initialize_impl(int, char **, vector<appbase::abstract_plugin *>)
Dynamic exception type: boost::wrapexcept<std::runtime_error>
std::exception::what: Unknown option '--fill-pg' passed as command line argument

info  2020-05-19T20:50:31.610 thread-0  block_log.cpp:659             repair_log           ] Recovered block 128000
info  2020-05-19T20:50:31.621 thread-0  block_log.cpp:659             repair_log           ] Recovered block 129000
info  2020-05-19T20:50:31.634 thread-0  block_log.cpp:659             repair_log           ] Recovered block 130000
info  2020-05-19T20:50:31.648 thread-0  block_log.cpp:659             repair_log           ] Recovered block 131000
info  2020-05-19T20:50:31.662 thread-0  block_log.cpp:659             repair_log           ] Recovered block 132000
info  2020-05-19T20:50:31.677 thread-0  block_log.cpp:659             repair_log           ] Recovered block 133000
info  2020-05-19T20:50:31.692 thread-0  block_log.cpp:659             repair_log           ] Recovered block 134000
info  2020-05-19T20:50:31.707 thread-0  block_log.cpp:659             repair_log           ] Recovered block 135000
info  2020-05-19T20:50:31.722 thread-0  block_log.cpp:659             repair_log           ] Recovered block 136000
info  2020-05-19T20:50:31.746 thread-0  block_log.cpp:659             repair_log           ] Recovered block 137000
info  2020-05-19T20:50:31.762 thread-0  block_log.cpp:659             repair_log           ] Recovered block 138000
info  2020-05-19T20:50:31.775 thread-0  block_log.cpp:659             repair_log           ] Recovered block 139000
info  2020-05-19T20:50:31.787 thread-0  block_log.cpp:659             repair_log           ] Recovered block 140000
info  2020-05-19T20:50:31.798 thread-0  block_log.cpp:659             repair_log           ] Recovered block 141000
info  2020-05-19T20:50:31.811 thread-0  block_log.cpp:659             repair_log           ] Recovered block 142000
info  2020-05-19T20:50:31.836 thread-0  block_log.cpp:659             repair_log           ] Recovered block 143000
info  2020-05-19T20:50:31.852 thread-0  block_log.cpp:659             repair_log           ] Recovered block 144000
info  2020-05-19T20:50:31.865 thread-0  block_log.cpp:659             repair_log           ] Recovered block 145000
info  2020-05-19T20:50:31.874 thread-0  block_log.cpp:659             repair_log           ] Recovered block 146000
info  2020-05-19T20:50:31.885 thread-0  block_log.cpp:659             repair_log           ] Recovered block 147000
info  2020-05-19T20:50:31.903 thread-0  block_log.cpp:659             repair_log           ] Recovered block 148000
info  2020-05-19T20:50:31.923 thread-0  block_log.cpp:659             repair_log           ] Recovered block 149000
info  2020-05-19T20:50:31.933 thread-0  block_log.cpp:659             repair_log           ] Recovered block 150000
info  2020-05-19T20:50:31.943 thread-0  block_log.cpp:659             repair_log           ] Recovered block 151000
info  2020-05-19T20:50:31.953 thread-0  block_log.cpp:659             repair_log           ] Recovered block 152000
info  2020-05-19T20:50:31.963 thread-0  block_log.cpp:659             repair_log           ] Recovered block 153000
info  2020-05-19T20:50:31.973 thread-0  block_log.cpp:659             repair_log           ] Recovered block 154000
info  2020-05-19T20:50:31.984 thread-0  block_log.cpp:659             repair_log           ] Recovered block 155000
info  2020-05-19T20:50:31.994 thread-0  block_log.cpp:659             repair_log           ] Recovered block 156000
info  2020-05-19T20:50:32.004 thread-0  block_log.cpp:659             repair_log           ] Recovered block 157000
info  2020-05-19T20:50:32.014 thread-0  block_log.cpp:659             repair_log           ] Recovered block 158000
info  2020-05-19T20:50:32.033 thread-0  block_log.cpp:659             repair_log           ] Recovered block 159000
info  2020-05-19T20:50:32.043 thread-0  block_log.cpp:659             repair_log           ] Recovered block 160000
info  2020-05-19T20:50:32.057 thread-0  block_log.cpp:659             repair_log           ] Recovered block 161000
info  2020-05-19T20:50:32.069 thread-0  block_log.cpp:659             repair_log           ] Recovered block 162000
info  2020-05-19T20:50:32.082 thread-0  block_log.cpp:659             repair_log           ] Recovered block 163000
info  2020-05-19T20:50:32.103 thread-0  block_log.cpp:659             repair_log           ] Recovered block 164000
info  2020-05-19T20:50:32.119 thread-0  block_log.cpp:659             repair_log           ] Recovered block 165000
info  2020-05-19T20:50:32.129 thread-0  block_log.cpp:659             repair_log           ] Recovered block 166000
info  2020-05-19T20:50:32.139 thread-0  block_log.cpp:659             repair_log           ] Recovered block 167000
info  2020-05-19T20:50:32.149 thread-0  block_log.cpp:659             repair_log           ] Recovered block 168000
info  2020-05-19T20:50:32.159 thread-0  block_log.cpp:659             repair_log           ] Recovered block 169000
info  2020-05-19T20:50:32.170 thread-0  block_log.cpp:659             repair_log           ] Recovered block 170000
info  2020-05-19T20:50:32.180 thread-0  block_log.cpp:659             repair_log           ] Recovered block 171000
info  2020-05-19T20:50:32.190 thread-0  block_log.cpp:659             repair_log           ] Recovered block 172000
info  2020-05-19T20:50:32.201 thread-0  block_log.cpp:659             repair_log           ] Recovered block 173000
info  2020-05-19T20:50:32.210 thread-0  block_log.cpp:659             repair_log           ] Recovered block 174000
info  2020-05-19T20:50:32.228 thread-0  block_log.cpp:659             repair_log           ] Recovered block 175000
info  2020-05-19T20:50:32.240 thread-0  block_log.cpp:659             repair_log           ] Recovered block 176000
info  2020-05-19T20:50:32.250 thread-0  block_log.cpp:659             repair_log           ] Recovered block 177000
info  2020-05-19T20:50:32.260 thread-0  block_log.cpp:659             repair_log           ] Recovered block 178000
info  2020-05-19T20:50:32.272 thread-0  block_log.cpp:659             repair_log           ] Recovered block 179000
info  2020-05-19T20:50:32.282 thread-0  block_log.cpp:659             repair_log           ] Recovered block 180000
info  2020-05-19T20:50:32.292 thread-0  block_log.cpp:659             repair_log           ] Recovered block 181000
info  2020-05-19T20:50:32.302 thread-0  block_log.cpp:659             repair_log           ] Recovered block 182000
info  2020-05-19T20:50:32.702 thread-0  block_log.cpp:659             repair_log           ] Recovered block 183000
info  2020-05-19T20:50:32.715 thread-0  block_log.cpp:659             repair_log           ] Recovered block 184000
info  2020-05-19T20:50:32.728 thread-0  block_log.cpp:659             repair_log           ] Recovered block 185000
info  2020-05-19T20:50:32.742 thread-0  block_log.cpp:659             repair_log           ] Recovered block 186000
info  2020-05-19T20:50:32.754 thread-0  block_log.cpp:659             repair_log           ] Recovered block 187000
info  2020-05-19T20:50:32.766 thread-0  block_log.cpp:659             repair_log           ] Recovered block 188000
info  2020-05-19T20:50:32.776 thread-0  block_log.cpp:659             repair_log           ] Recovered block 189000
info  2020-05-19T20:50:32.786 thread-0  block_log.cpp:659             repair_log           ] Recovered block 190000
info  2020-05-19T20:50:32.797 thread-0  block_log.cpp:659             repair_log           ] Recovered block 191000
info  2020-05-19T20:50:32.807 thread-0  block_log.cpp:659             repair_log           ] Recovered block 192000
info  2020-05-19T20:50:32.817 thread-0  block_log.cpp:659             repair_log           ] Recovered block 193000
info  2020-05-19T20:50:32.827 thread-0  block_log.cpp:659             repair_log           ] Recovered block 194000
info  2020-05-19T20:50:32.841 thread-0  block_log.cpp:659             repair_log           ] Recovered block 195000
info  2020-05-19T20:50:32.853 thread-0  block_log.cpp:659             repair_log           ] Recovered block 196000
info  2020-05-19T20:50:32.863 thread-0  block_log.cpp:659             repair_log           ] Recovered block 197000
info  2020-05-19T20:50:32.873 thread-0  block_log.cpp:659             repair_log           ] Recovered block 198000
info  2020-05-19T20:50:32.883 thread-0  block_log.cpp:659             repair_log           ] Recovered block 199000
info  2020-05-19T20:50:32.892 thread-0  block_log.cpp:659             repair_log           ] Recovered block 200000
info  2020-05-19T20:50:32.902 thread-0  block_log.cpp:659             repair_log           ] Recovered block 201000
info  2020-05-19T20:50:32.917 thread-0  block_log.cpp:659             repair_log           ] Recovered block 202000
